Make,Model,Injury.Severity,Event.Date,Number.of.Engines,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Broad.phase.of.flight,Weather.Condition
Stinson,108-3,Fatal(2),1948-10-24,1.0,2.0,0.0,0.0,0.0,Cruise,UNK
Piper,PA24-180,Fatal(4),1962-07-19,1.0,4.0,0.0,0.0,0.0,Unknown,UNK
Cessna,172M,Fatal(3),1974-08-30,1.0,3.0,0.0,0.0,1.0,Cruise,IMC
Rockwell,112,Fatal(2),1977-06-19,1.0,2.0,0.0,0.0,0.0,Cruise,IMC
Cessna,501,Fatal(1),1979-08-02,1.0,1.0,2.0,0.0,0.0,Approach,VMC
Mcdonnell Douglas,DC9,Non-Fatal,1979-09-17,2.0,0.0,0.0,1.0,44.0,Climb,VMC
Cessna,180,Fatal(4),1981-08-01,1.0,4.0,0.0,0.0,0.0,Unknown,IMC
Cessna,140,Non-Fatal,1982-01-01,1.0,0.0,0.0,0.0,2.0,Takeoff,VMC
Cessna,401B,Non-Fatal,1982-01-01,2.0,0.0,0.0,0.0,2.0,Landing,IMC
North American,NAVION L-17B,Non-Fatal,1982-01-01,1.0,0.0,0.0,3.0,0.0,Cruise,IMC
Piper,PA-28-161,Non-Fatal,1982-01-01,1.0,0.0,0.0,0.0,1.0,Approach,VMC
Beech,V35B,Non-Fatal,1982-01-01,1.0,0.0,0.0,0.0,1.0,Landing,VMC
Bellanca,17-30A,Non-Fatal,1982-01-02,1.0,0.0,0.0,1.0,0.0,Cruise,IMC
Cessna,R172K,Fatal(1),1982-01-02,1.0,1.0,0.0,0.0,0.0,Takeoff,IMC
Navion,A,Fatal(1),1982-01-02,1.0,1.0,0.0,0.0,0.0,Cruise,IMC
Beech,19,Fatal(2),1982-01-02,1.0,2.0,0.0,0.0,0.0,Cruise,IMC
Enstrom,280C,Non-Fatal,1982-01-02,1.0,0.0,0.0,0.0,1.0,Taxi,IMC
Cessna,180,Fatal(3),1982-01-02,1.0,3.0,0.0,0.0,0.0,Unknown,VMC
Cessna,172,Non-Fatal,1982-01-02,1.0,0.0,0.0,0.0,1.0,Taxi,VMC
Smith,WCS-222 (BELL 47G),Non-Fatal,1982-01-02,1.0,0.0,0.0,0.0,2.0,Cruise,VMC
Cessna,152,Non-Fatal,1982-01-02,1.0,0.0,0.0,0.0,1.0,Takeoff,VMC
Cessna,150L,Non-Fatal,1982-01-02,1.0,0.0,0.0,0.0,2.0,Approach,VMC
Bell,206L-1,Non-Fatal,1982-01-02,1.0,0.0,0.0,0.0,1.0,Approach,VMC
Piper,PA-24-180,Incident,1982-01-03,1.0,0.0,0.0,0.0,1.0,Approach,VMC
Grumman,AA-5B,Fatal(2),1982-01-03,1.0,2.0,1.0,0.0,0.0,Descent,IMC
Cessna,414A,Fatal(8),1982-01-03,2.0,8.0,0.0,0.0,0.0,Approach,IMC
Beechcraft,BE-58,Fatal(1),1982-01-03,2.0,1.0,0.0,0.0,0.0,Approach,IMC
Maule,M-5-235C,Non-Fatal,1982-01-03,1.0,0.0,0.0,0.0,2.0,Landing,VMC
Cessna,210L,Non-Fatal,1982-01-03,1.0,0.0,0.0,1.0,1.0,Descent,VMC
Bellanca,7GCBC,Non-Fatal,1982-01-03,1.0,0.0,0.0,2.0,0.0,Maneuvering,VMC
Cessna,182,Non-Fatal,1982-01-03,1.0,0.0,0.0,2.0,0.0,Approach,VMC
Air Tractor,AT-301,Non-Fatal,1982-01-03,1.0,0.0,0.0,0.0,1.0,Takeoff,VMC
Piper,PA-28-161,Fatal(4),1982-01-04,1.0,4.0,0.0,0.0,0.0,Cruise,VMC
Piper,PA-34-200T,Fatal(2),1982-01-04,2.0,2.0,0.0,0.0,0.0,Cruise,VMC
Cessna,T337G,Fatal(2),1982-01-04,2.0,2.0,2.0,0.0,0.0,Cruise,IMC
Piper,PA-28R-200,Non-Fatal,1982-01-04,1.0,0.0,0.0,2.0,0.0,Cruise,VMC
Cessna,206,Fatal(1),1982-01-04,1.0,1.0,0.0,1.0,0.0,Taxi,VMC
Navion,A,Fatal(3),1982-01-05,1.0,3.0,0.0,0.0,0.0,Cruise,IMC
Piper,PA-22,Fatal(1),1982-01-05,1.0,1.0,0.0,0.0,0.0,Cruise,IMC
Piper,PA-31,Fatal(2),1982-01-05,2.0,2.0,0.0,0.0,0.0,Approach,VMC
Rockwell,114,Incident,1982-01-05,1.0,0.0,0.0,0.0,1.0,Cruise,VMC
Piper,PA-24-250,Non-Fatal,1982-01-05,1.0,0.0,1.0,0.0,1.0,Descent,VMC
Piper,PA-28R-200,Non-Fatal,1982-01-05,1.0,0.0,0.0,0.0,1.0,Cruise,VMC
Cessna,TR182,Non-Fatal,1982-01-05,1.0,0.0,0.0,0.0,1.0,Taxi,VMC
Cessna,A185F,Non-Fatal,1982-01-05,1.0,0.0,2.0,0.0,0.0,Takeoff,VMC
Cessna,340,Non-Fatal,1982-01-06,2.0,0.0,0.0,0.0,3.0,Approach,VMC
Aerospatiale,SA-316B,Non-Fatal,1982-01-06,1.0,0.0,0.0,0.0,6.0,Taxi,VMC
Beech,35,Non-Fatal,1982-01-06,1.0,0.0,0.0,0.0,3.0,Climb,VMC
Cessna,152,Non-Fatal,1982-01-06,1.0,0.0,0.0,0.0,2.0,Approach,VMC
Mooney,M-20J,Non-Fatal,1982-01-06,1.0,0.0,0.0,0.0,2.0,Takeoff,VMC
Boeing,A75,Non-Fatal,1982-01-06,1.0,0.0,1.0,0.0,1.0,Cruise,IMC
Cessna,210,Fatal(2),1982-01-07,1.0,2.0,0.0,0.0,0.0,Cruise,VMC
Beech,V35,Non-Fatal,1982-01-07,1.0,0.0,0.0,0.0,1.0,Approach,VMC
Curtis,C46,Non-Fatal,1982-01-07,2.0,0.0,0.0,0.0,3.0,Standing,VMC
Cessna,172M,Fatal(1),1982-01-08,1.0,1.0,0.0,0.0,0.0,Approach,IMC
Piper,PA-28-140,Fatal(1),1982-01-08,1.0,1.0,1.0,0.0,0.0,Approach,VMC
Cessna,TU206G,Non-Fatal,1982-01-08,1.0,0.0,0.0,0.0,1.0,Landing,VMC
Cessna,152,Non-Fatal,1982-01-08,1.0,0.0,0.0,0.0,1.0,Cruise,VMC
Piper,PA-24-250,Non-Fatal,1982-01-08,1.0,0.0,0.0,0.0,2.0,Landing,VMC
Cessna,152,Non-Fatal,1982-01-08,1.0,0.0,0.0,0.0,1.0,Takeoff,VMC
Cessna,172N,Non-Fatal,1982-01-08,1.0,0.0,0.0,0.0,2.0,Landing,VMC
Cessna,152,Non-Fatal,1982-01-08,1.0,0.0,0.0,0.0,1.0,Landing,VMC
Schleicher,ASW 20,Non-Fatal,1982-01-09,0.0,0.0,0.0,0.0,1.0,Landing,VMC
Cessna,P210N,Non-Fatal,1982-01-09,1.0,0.0,1.0,0.0,3.0,Landing,VMC
Cessna,172,Non-Fatal,1982-01-09,1.0,0.0,0.0,0.0,2.0,Approach,VMC
Piper,PA-34,Non-Fatal,1982-01-09,2.0,0.0,0.0,0.0,3.0,Taxi,VMC
Cessna,305 (L-19),Non-Fatal,1982-01-09,1.0,0.0,0.0,0.0,2.0,Landing,VMC
Cessna,182A,Non-Fatal,1982-01-09,1.0,0.0,0.0,0.0,1.0,Approach,VMC
Piper,PA-23-250,Non-Fatal,1982-01-10,2.0,0.0,2.0,0.0,0.0,Approach,UNK
Cessna,172N,Non-Fatal,1982-01-10,1.0,0.0,0.0,0.0,4.0,Landing,VMC
Piper,23-250,Non-Fatal,1982-01-10,2.0,0.0,0.0,0.0,2.0,Takeoff,IMC
Mooney,M20G,Fatal(1),1982-01-10,1.0,1.0,1.0,0.0,0.0,Cruise,VMC
Cessna,TU206F,Non-Fatal,1982-01-10,1.0,0.0,0.0,4.0,0.0,Landing,VMC
Quickie,1,Non-Fatal,1982-01-10,1.0,0.0,0.0,0.0,1.0,Takeoff,VMC
Cessna,U206,Non-Fatal,1982-01-10,1.0,0.0,0.0,3.0,0.0,Cruise,VMC
Piper,PA-28-140,Non-Fatal,1982-01-11,1.0,0.0,1.0,1.0,0.0,Cruise,VMC
Cessna,210N,Fatal(4),1982-01-11,1.0,4.0,1.0,1.0,0.0,Takeoff,IMC
Cessna,180,Non-Fatal,1982-01-11,1.0,0.0,0.0,0.0,1.0,Takeoff,VMC
Cessna,310L,Non-Fatal,1982-01-11,2.0,0.0,0.0,0.0,1.0,Landing,VMC
Lockheed,L-1011,Incident,1982-01-12,3.0,0.0,0.0,0.0,149.0,Cruise,UNK
Embraer,EMB-110P1,Incident,1982-01-12,2.0,0.0,0.0,0.0,2.0,Taxi,VMC
Cessna,414,Non-Fatal,1982-01-12,2.0,0.0,0.0,3.0,0.0,Descent,UNK
Beech,P35,Non-Fatal,1982-01-12,1.0,0.0,1.0,0.0,1.0,Descent,IMC
Grumman,AA5B,Non-Fatal,1982-01-13,1.0,0.0,0.0,0.0,1.0,Descent,VMC
Boeing,737-222,Fatal(78),1982-01-13,2.0,78.0,6.0,3.0,0.0,Takeoff,IMC
Piper,PA-28R-201T,Non-Fatal,1982-01-13,1.0,0.0,0.0,0.0,3.0,Cruise,VMC
Beech,A23-24,Non-Fatal,1982-01-13,1.0,0.0,0.0,0.0,4.0,Takeoff,VMC
Piper,PA-31-350,Non-Fatal,1982-01-13,2.0,0.0,0.0,0.0,2.0,Approach,IMC
Cessna,T210N,Fatal(3),1982-01-15,1.0,3.0,0.0,0.0,0.0,Climb,VMC
Cessna,310,Non-Fatal,1982-01-15,2.0,0.0,0.0,0.0,2.0,Approach,VMC
Cessna,172,Non-Fatal,1982-01-15,1.0,0.0,0.0,0.0,2.0,Landing,VMC
Hughes,269C,Non-Fatal,1982-01-15,1.0,0.0,0.0,0.0,1.0,Taxi,VMC
Cessna,140,Non-Fatal,1982-01-15,1.0,0.0,0.0,0.0,1.0,Takeoff,VMC
Swearingen,SA 226-TC,Non-Fatal,1982-01-15,2.0,0.0,1.0,2.0,12.0,Takeoff,VMC
Beech,C-45H,Non-Fatal,1982-01-15,2.0,0.0,0.0,0.0,2.0,Landing,VMC
De Havilland,DHC-2-MK3,Non-Fatal,1982-01-15,1.0,0.0,0.0,0.0,4.0,Landing,VMC
Bell Helicopter,206L-1,Fatal(1),1982-01-16,1.0,1.0,2.0,0.0,0.0,Cruise,IMC
Cessna,150M,Non-Fatal,1982-01-16,1.0,0.0,0.0,0.0,1.0,Go-around,VMC
Cessna,150M,Fatal(1),1982-01-17,1.0,1.0,0.0,0.0,0.0,Takeoff,IMC
Bede Aircraft,BD-5B,Fatal(1),1982-01-17,1.0,1.0,0.0,0.0,0.0,Maneuvering,VMC
Cessna,182P,Non-Fatal,1982-01-17,1.0,0.0,0.0,1.0,0.0,Other,VMC
Convair,440,Non-Fatal,1982-01-17,2.0,0.0,0.0,2.0,1.0,Takeoff,VMC
Piper,PA-31,Fatal(1),1982-01-17,2.0,1.0,0.0,0.0,0.0,Approach,VMC
Piper,PA-31T,Non-Fatal,1982-01-17,2.0,0.0,0.0,3.0,0.0,Maneuvering,VMC
Beech,F50,Fatal(2),1982-01-17,2.0,2.0,0.0,0.0,0.0,Takeoff,VMC
Cessna,150,Non-Fatal,1982-01-17,1.0,0.0,0.0,1.0,1.0,Takeoff,VMC
Cessna,180E,Non-Fatal,1982-01-17,1.0,0.0,0.0,0.0,1.0,Maneuvering,VMC
Cessna,170B,Non-Fatal,1982-01-17,1.0,0.0,0.0,0.0,2.0,Landing,VMC
Bell,206B,Non-Fatal,1982-01-17,1.0,0.0,0.0,0.0,2.0,Maneuvering,VMC
Beech,C23,Non-Fatal,1982-01-18,1.0,0.0,2.0,2.0,0.0,Descent,VMC
Cessna,172M,Fatal(1),1982-01-18,1.0,1.0,0.0,0.0,0.0,Cruise,IMC
Piper,PA-28-180,Fatal(3),1982-01-18,1.0,3.0,0.0,0.0,0.0,Cruise,IMC
Cessna,180K,Non-Fatal,1982-01-18,1.0,0.0,0.0,0.0,1.0,Takeoff,VMC
Cessna,210L,Fatal(4),1982-01-18,1.0,4.0,0.0,0.0,0.0,Approach,IMC
Mooney,M20F,Fatal(1),1982-01-19,1.0,1.0,0.0,0.0,0.0,Takeoff,VMC
Beech,G35,Fatal(2),1982-01-19,1.0,2.0,0.0,0.0,0.0,Maneuvering,IMC
Cessna,177B,Fatal(1),1982-01-19,1.0,1.0,2.0,0.0,0.0,Cruise,UNK
Grumman,AA5A,Fatal(3),1982-01-19,1.0,3.0,0.0,0.0,0.0,Approach,IMC
Swearingen,SA226-T(B),Fatal(3),1982-01-19,2.0,3.0,0.0,0.0,0.0,Approach,IMC
De Havilland,DHC-6-300,Incident,1982-01-19,2.0,0.0,0.0,0.0,1.0,Descent,IMC
Piper,AEROSTAR 601P,Non-Fatal,1982-01-19,2.0,0.0,0.0,0.0,2.0,Takeoff,VMC
Cessna,152,Non-Fatal,1982-01-19,1.0,0.0,0.0,0.0,1.0,Cruise,VMC
Cessna,182P,Non-Fatal,1982-01-19,1.0,0.0,0.0,1.0,1.0,Cruise,VMC
Cessna,177RG,Non-Fatal,1982-01-19,1.0,0.0,0.0,0.0,2.0,Climb,VMC
Beachner,QUICK SILVER,Non-Fatal,1982-01-19,1.0,0.0,0.0,1.0,0.0,Climb,VMC
Cessna,182E,Non-Fatal,1982-01-19,1.0,0.0,0.0,0.0,1.0,Landing,VMC
Cessna,150H,Non-Fatal,1982-01-19,1.0,0.0,0.0,0.0,1.0,Approach,VMC
Cessna,340A,Non-Fatal,1982-01-19,2.0,0.0,0.0,0.0,2.0,Cruise,UNK
Piper,PA-38-112,Non-Fatal,1982-01-19,1.0,0.0,0.0,0.0,2.0,Takeoff,VMC
Canadair,CL-44D4,Non-Fatal,1982-01-19,4.0,0.0,0.0,0.0,6.0,Landing,VMC
Piper,PA-32,Non-Fatal,1982-01-19,1.0,0.0,0.0,0.0,2.0,Takeoff,VMC
Piper,PA-31-350,Incident,1982-01-20,2.0,0.0,0.0,0.0,2.0,Takeoff,VMC
Beech,58,Fatal(2),1982-01-20,2.0,2.0,0.0,0.0,0.0,Cruise,IMC
Cessna,182N,Fatal(3),1982-01-20,1.0,3.0,0.0,0.0,0.0,Descent,IMC
Piper,PA-23-250,Fatal(1),1982-01-20,2.0,1.0,0.0,0.0,0.0,Approach,IMC
Cessna,210,Fatal(1),1982-01-20,1.0,1.0,0.0,0.0,1.0,Approach,VMC
Cessna,152,Non-Fatal,1982-01-20,1.0,0.0,0.0,0.0,1.0,Landing,VMC
Hughes,269C,Non-Fatal,1982-01-20,1.0,0.0,0.0,0.0,2.0,Landing,VMC
Cessna,P210N,Fatal(4),1982-01-21,1.0,4.0,0.0,0.0,0.0,Cruise,IMC
Cessna,402A,Fatal(1),1982-01-21,2.0,1.0,0.0,0.0,0.0,Approach,IMC
Douglas,DC-3,Non-Fatal,1982-01-21,2.0,0.0,0.0,2.0,0.0,Takeoff,VMC
Piper,PA-23-250,Non-Fatal,1982-01-21,2.0,0.0,1.0,2.0,0.0,Maneuvering,IMC
Piper,PA-28-235,Fatal(1),1982-01-21,1.0,1.0,0.0,0.0,0.0,Cruise,IMC
Grumman,AA-1,Fatal(1),1982-01-21,1.0,1.0,0.0,0.0,0.0,Takeoff,IMC
Piper,PA-32,Non-Fatal,1982-01-21,1.0,0.0,1.0,3.0,0.0,Approach,VMC
Cessna,207,Non-Fatal,1982-01-21,1.0,0.0,0.0,1.0,0.0,Landing,VMC
Mooney,M-20,Non-Fatal,1982-01-21,1.0,0.0,0.0,0.0,4.0,Takeoff,VMC
Air Tractor,301,Non-Fatal,1982-01-21,1.0,0.0,0.0,0.0,1.0,Takeoff,VMC
Sons Mustang,II,Fatal(2),1982-01-22,1.0,2.0,0.0,0.0,0.0,Unknown,VMC
Dassault/sud,FALCON 20,Incident,1982-01-22,2.0,0.0,0.0,0.0,2.0,Descent,VMC
Cessna,172M,Non-Fatal,1982-01-22,1.0,0.0,0.0,0.0,2.0,Landing,VMC
Sikorsky,S-58J,Non-Fatal,1982-01-22,1.0,0.0,0.0,0.0,2.0,Maneuvering,VMC
Cessna,172,Fatal(1),1982-01-23,1.0,1.0,1.0,0.0,0.0,Approach,IMC
Mooney,M20C,Fatal(2),1982-01-23,1.0,2.0,0.0,4.0,0.0,Unknown,VMC
Grumman,G-164A,Non-Fatal,1982-01-23,1.0,0.0,0.0,0.0,1.0,Takeoff,VMC
Mcdonnell Douglas,DC-10-30,Fatal(2),1982-01-23,3.0,2.0,4.0,24.0,182.0,Landing,IMC
Beech,A23A,Fatal(1),1982-01-23,1.0,1.0,0.0,0.0,0.0,Cruise,IMC
Piper,PA-32-300,Non-Fatal,1982-01-23,1.0,0.0,0.0,0.0,1.0,Landing,VMC
Cessna,150M,Non-Fatal,1982-01-23,1.0,0.0,0.0,0.0,3.0,Cruise,VMC
Piper,PA-34-200T,Non-Fatal,1982-01-23,2.0,0.0,0.0,0.0,3.0,Approach,VMC
Piper,PA-28-235,Fatal(2),1982-01-23,1.0,2.0,0.0,4.0,0.0,Cruise,VMC
Cessna,150H,Non-Fatal,1982-01-23,1.0,0.0,1.0,0.0,0.0,Landing,VMC
Bell/textron,206 L-1,Non-Fatal,1982-01-23,1.0,0.0,0.0,0.0,2.0,Landing,VMC
Bell,47G-2,Non-Fatal,1982-01-23,1.0,0.0,0.0,0.0,1.0,Maneuvering,VMC
Piper,PA-38-112,Non-Fatal,1982-01-23,1.0,0.0,0.0,1.0,1.0,Go-around,VMC
Robertson,C-402B,Fatal(7),1982-01-24,2.0,7.0,0.0,0.0,0.0,Approach,VMC
Cessna,172,Non-Fatal,1982-01-24,1.0,0.0,0.0,2.0,0.0,Approach,UNK
Cessna,172,Non-Fatal,1982-01-24,1.0,0.0,0.0,0.0,4.0,Landing,VMC
Cessna,172RG,Non-Fatal,1982-01-24,1.0,0.0,0.0,0.0,2.0,Standing,VMC
Cessna,177,Non-Fatal,1982-01-24,1.0,0.0,0.0,0.0,1.0,Descent,VMC
Cessna,182M,Fatal(2),1982-01-25,1.0,2.0,0.0,0.0,0.0,Cruise,UNK
Cessna,152II,Non-Fatal,1982-01-25,1.0,0.0,0.0,1.0,0.0,Descent,VMC
Cessna,A188B,Non-Fatal,1982-01-26,1.0,0.0,1.0,0.0,0.0,Maneuvering,VMC
Piper,PA-28-140,Non-Fatal,1982-01-26,1.0,0.0,0.0,0.0,2.0,Landing,VMC
Cessna,172N,Non-Fatal,1982-01-26,1.0,0.0,0.0,0.0,3.0,Taxi,VMC
Cessna,152,Non-Fatal,1982-01-26,1.0,0.0,0.0,0.0,1.0,Landing,VMC
Bellanca,7GCBC,Non-Fatal,1982-01-26,1.0,0.0,0.0,0.0,1.0,Takeoff,VMC
Hughes,369D,Non-Fatal,1982-01-26,1.0,0.0,0.0,2.0,2.0,Cruise,VMC
Bell,UH1B,Fatal(1),1982-01-27,1.0,1.0,0.0,0.0,0.0,Maneuvering,VMC
Cessna,152,Non-Fatal,1982-01-27,1.0,0.0,0.0,0.0,2.0,Landing,VMC
Cessna,152,Non-Fatal,1982-01-27,1.0,0.0,0.0,0.0,1.0,Landing,VMC
Cessna,172N,Non-Fatal,1982-01-27,1.0,0.0,0.0,0.0,1.0,Taxi,VMC
Aeronca,7BCM,Non-Fatal,1982-01-27,1.0,0.0,0.0,0.0,1.0,Landing,VMC
Piper,PA-38-112,Non-Fatal,1982-01-27,1.0,0.0,0.0,0.0,2.0,Approach,VMC
Piper,28-151,Fatal(1),1982-01-28,1.0,1.0,0.0,0.0,0.0,Cruise,IMC
Cessna,340A,Non-Fatal,1982-01-28,2.0,0.0,0.0,0.0,2.0,Takeoff,VMC
Cessna,172H,Non-Fatal,1982-01-28,1.0,0.0,0.0,0.0,1.0,Approach,VMC
Mooney,M20C,Non-Fatal,1982-01-28,1.0,0.0,0.0,0.0,1.0,Landing,VMC
Cessna,A185F,Non-Fatal,1982-01-28,1.0,0.0,0.0,0.0,2.0,Takeoff,VMC
Piper,PA-32-260,Non-Fatal,1982-01-28,1.0,0.0,0.0,0.0,2.0,Approach,VMC
Cessna,172N,Fatal(1),1982-01-29,1.0,1.0,0.0,0.0,0.0,Cruise,IMC
Beech,B200,Incident,1982-01-29,2.0,0.0,0.0,0.0,2.0,Cruise,VMC
Cessna,150,Fatal(1),1982-01-29,1.0,1.0,0.0,0.0,0.0,Maneuvering,VMC
Cessna,172,Non-Fatal,1982-01-29,1.0,0.0,0.0,0.0,2.0,Maneuvering,VMC
Piper,PA-28R-201T,Incident,1982-01-30,1.0,0.0,0.0,0.0,1.0,Landing,VMC
Mooney,M20J,Non-Fatal,1982-01-30,1.0,0.0,0.0,0.0,4.0,Climb,VMC
Cessna,TR182,Fatal(1),1982-01-30,1.0,1.0,0.0,0.0,0.0,Takeoff,VMC
Aeronca,7AC,Non-Fatal,1982-01-30,1.0,0.0,0.0,0.0,1.0,Taxi,VMC
Cessna,177B,Non-Fatal,1982-01-30,1.0,0.0,0.0,0.0,2.0,Cruise,VMC
Cessna,172,Non-Fatal,1982-01-30,1.0,0.0,0.0,0.0,3.0,Landing,VMC
Cessna,140,Non-Fatal,1982-01-30,1.0,0.0,0.0,0.0,2.0,Takeoff,VMC
Cessna,172,Non-Fatal,1982-01-30,1.0,0.0,0.0,0.0,1.0,Landing,VMC
Cessna,182L,Non-Fatal,1982-01-30,1.0,0.0,0.0,0.0,2.0,Landing,VMC
Cessna,172N,Non-Fatal,1982-01-30,1.0,0.0,0.0,0.0,3.0,Landing,VMC
Cessna,172P,Non-Fatal,1982-01-30,1.0,0.0,0.0,0.0,3.0,Landing,IMC
Piper,PA-22,Non-Fatal,1982-01-31,1.0,0.0,0.0,1.0,1.0,Takeoff,VMC
Cessna,150L,Non-Fatal,1982-01-31,1.0,0.0,0.0,0.0,2.0,Approach,VMC
Beech,36,Non-Fatal,1982-01-31,1.0,0.0,1.0,0.0,1.0,Cruise,IMC
Cessna,152,Non-Fatal,1982-01-31,1.0,0.0,0.0,1.0,0.0,Landing,VMC
Piper,PA-28-161,Non-Fatal,1982-01-31,1.0,0.0,0.0,0.0,2.0,Approach,VMC
Cessna,180K,Non-Fatal,1982-01-31,1.0,0.0,0.0,0.0,3.0,Landing,VMC
Cessna,152,Non-Fatal,1982-01-31,1.0,0.0,0.0,0.0,2.0,Takeoff,VMC
Cessna,152,Non-Fatal,1982-01-31,1.0,0.0,0.0,0.0,1.0,Landing,VMC
Piper,PA-22,Non-Fatal,1982-01-31,1.0,0.0,0.0,0.0,2.0,Takeoff,VMC
Beech,99,Non-Fatal,1982-02-01,2.0,0.0,5.0,2.0,0.0,Approach,IMC
Cessna,172,Non-Fatal,1982-02-01,1.0,0.0,1.0,1.0,0.0,Takeoff,VMC
Aerospatiale,SA-360C,Non-Fatal,1982-02-01,1.0,0.0,1.0,0.0,0.0,Cruise,VMC
Cessna,182,Fatal(2),1982-02-01,1.0,2.0,0.0,0.0,0.0,Maneuvering,IMC
Bellanca,7ECA,Non-Fatal,1982-02-01,1.0,0.0,0.0,0.0,1.0,Takeoff,VMC
Cessna,TR182,Non-Fatal,1982-02-01,1.0,0.0,0.0,0.0,2.0,Landing,VMC
Cessna,P206,Non-Fatal,1982-02-01,1.0,0.0,0.0,0.0,3.0,Landing,VMC
Grumman,1159,Non-Fatal,1982-02-01,2.0,0.0,0.0,0.0,4.0,Landing,VMC
Piper,PA-32,Non-Fatal,1982-02-01,1.0,0.0,1.0,0.0,0.0,Cruise,IMC
Piper,PA-23-250,Fatal(1),1982-02-02,2.0,1.0,0.0,0.0,0.0,Approach,IMC
Cessna,150G,Fatal(2),1982-02-02,1.0,2.0,0.0,0.0,0.0,Unknown,VMC
Cessna,U206G,Non-Fatal,1982-02-02,1.0,0.0,0.0,0.0,1.0,Landing,VMC
Cessna,T210N,Non-Fatal,1982-02-02,1.0,0.0,0.0,0.0,1.0,Landing,VMC
Smith Miniplane,BK-1,Non-Fatal,1982-02-02,1.0,0.0,0.0,0.0,1.0,Landing,VMC
Mooney,M20J,Fatal(1),1982-02-03,1.0,1.0,0.0,0.0,0.0,Climb,VMC
Mitsubishi,MU2B-40,Non-Fatal,1982-02-03,2.0,0.0,0.0,6.0,0.0,Landing,IMC
Mcdonnell-douglas,DC-10-10,Non-Fatal,1982-02-03,3.0,0.0,1.0,0.0,154.0,Takeoff,IMC
Cessna,150J,Non-Fatal,1982-02-03,1.0,0.0,0.0,0.0,2.0,Maneuvering,VMC
Taylorcraft,F19,Non-Fatal,1982-02-03,1.0,0.0,0.0,0.0,1.0,Landing,VMC
Bell,206L-1,Non-Fatal,1982-02-03,1.0,0.0,0.0,0.0,1.0,Cruise,VMC
Ted Smith,AEROSTAR 600,Non-Fatal,1982-02-03,2.0,0.0,0.0,0.0,1.0,Approach,IMC
Robinson,R-22,Fatal(2),1982-02-04,1.0,2.0,0.0,0.0,0.0,Cruise,IMC
Bellanca,7KCAB,Non-Fatal,1982-02-04,1.0,0.0,0.0,0.0,1.0,Landing,VMC
Bell,206L-1,Non-Fatal,1982-02-04,1.0,0.0,0.0,0.0,1.0,Takeoff,VMC
Piper,PA-28,Fatal(2),1982-02-05,1.0,2.0,0.0,0.0,0.0,Cruise,VMC
Piper,PA-32R-300,Fatal(4),1982-02-05,1.0,4.0,0.0,0.0,0.0,Cruise,IMC
Piper,PA-28-140,Non-Fatal,1982-02-05,1.0,0.0,1.0,1.0,0.0,Takeoff,VMC
Cessna,T210L,Non-Fatal,1982-02-05,1.0,0.0,1.0,0.0,0.0,Climb,VMC
Boeing,A75N1,Non-Fatal,1982-02-06,1.0,0.0,0.0,0.0,3.0,Taxi,VMC
Piper,PA-31,Non-Fatal,1982-02-06,2.0,0.0,2.0,0.0,0.0,Unknown,IMC
Bellanca,7KCAB,Non-Fatal,1982-02-06,1.0,0.0,0.0,0.0,3.0,Standing,VMC
Taylorcraft,BC12-D,Non-Fatal,1982-02-06,1.0,0.0,0.0,0.0,3.0,Taxi,VMC
Piper,PA-28-140,Non-Fatal,1982-02-06,1.0,0.0,0.0,0.0,1.0,Landing,VMC
Raven,S-55A,Non-Fatal,1982-02-06,0.0,0.0,0.0,0.0,2.0,Landing,VMC
Cessna,180,Non-Fatal,1982-02-06,1.0,0.0,0.0,0.0,3.0,Taxi,VMC
Cessna,152,Non-Fatal,1982-02-06,1.0,0.0,0.0,0.0,2.0,Takeoff,VMC
Piper,PA-28-181,Non-Fatal,1982-02-06,1.0,0.0,0.0,0.0,3.0,Takeoff,VMC
Ercoupe,415-C,Non-Fatal,1982-02-06,2.0,0.0,0.0,0.0,2.0,Approach,VMC
Cessna,182H,Non-Fatal,1982-02-06,1.0,0.0,0.0,0.0,2.0,Landing,VMC
Cessna,150,Non-Fatal,1982-02-06,1.0,0.0,0.0,2.0,0.0,Landing,VMC
Piper,PA-24-180,Fatal(8),1982-02-07,1.0,8.0,0.0,0.0,0.0,Cruise,VMC
Cessna,182B,Fatal(8),1982-02-07,1.0,8.0,0.0,0.0,0.0,Cruise,VMC
Piper,PA-28-140,Non-Fatal,1982-02-07,1.0,0.0,4.0,0.0,0.0,Landing,VMC
Cessna,P210N,Fatal(4),1982-02-07,1.0,4.0,0.0,0.0,0.0,Cruise,IMC
Rockwell Comdr,112TCA,Non-Fatal,1982-02-07,1.0,0.0,1.0,0.0,0.0,Takeoff,VMC
Piper,PA-28-180,Non-Fatal,1982-02-07,1.0,0.0,0.0,0.0,1.0,Landing,VMC
Bellanca,7KCAB,Non-Fatal,1982-02-07,1.0,0.0,0.0,0.0,2.0,Landing,VMC
Cessna,172N,Non-Fatal,1982-02-07,1.0,0.0,0.0,0.0,5.0,Landing,VMC
Cessna,152,Non-Fatal,1982-02-07,1.0,0.0,0.0,0.0,1.0,Landing,VMC
